target,feature_1,feature_2,feature_3,avg_R2,FF,FFS,SF,SFS,TF,TFS
sigma_112_e,Mo,Ecoh_(eV),gamma_110_usf,0.7628391352057514,gamma_110_usf,0.47058334385445416,Mo,0.3051567066521735,Ecoh_(eV),0.004288218380277121
sigma_112_e,Mo,Ecoh_(eV),gamma_112_usf,0.7679632571151075,gamma_112_usf,0.41516468020819786,Mo,0.35503596717114844,Ecoh_(eV),0.0023382960691410944
sigma_112_e,Mo,Ecoh_(eV),gamma_123_usf,0.7542119547098459,Mo,0.37951586745633986,gamma_123_usf,0.3695093258840247,Ecoh_(eV),0.003776491317076603
sigma_112_e,Mo,gamma_110_usf,gamma_112_usf,0.7903912982316105,Mo,0.3132113904577036,gamma_112_usf,0.23006971971460263,gamma_110_usf,0.1794497992658843
sigma_112_e,Mo,gamma_110_usf,gamma_123_usf,0.7914703277121101,Mo,0.34657725424027414,gamma_110_usf,0.24170957453490494,gamma_123_usf,0.13574715108842278
sigma_112_e,Mo,gamma_112_usf,gamma_123_usf,0.7842423136256733,gamma_112_usf,0.28637542068465677,gamma_123_usf,0.275307007204059,Mo,0.18524957664055972
sigma_112_e,Mo,gamma_112_usf,tao_110_iss,0.7596378944184629,gamma_112_usf,0.31355824765353735,Mo,0.22342988347400214,tao_110_iss,0.1270384830785441
sigma_112_e,Mo,gamma_112_usf,tao_112_iss,0.7517831907671159,Mo,0.33563752426418225,gamma_112_usf,0.23833281794947872,tao_112_iss,0.10294570592907937
sigma_112_e,Mo,gamma_123_usf,tao_110_iss,0.7348607493197531,Mo,0.33839100100678854,gamma_123_usf,0.3180793627576766,tao_110_iss,0.0865118333247788
sigma_112_e,Mo,gamma_123_usf,tao_112_iss,0.7202514652252359,Mo,0.310818235480078,gamma_123_usf,0.29786216164240836,tao_112_iss,0.061887255895868847
sigma_112_e,Hf,Zr,gamma_110_usf,0.74478526561149,gamma_110_usf,0.9171393588120337,Hf,0.0019613772955061758,Zr,-0.0003047868797472263
sigma_112_e,Hf,Zr,gamma_112_usf,0.7648360101507374,gamma_112_usf,1.0472018569333257,Zr,0.000551925086867522,Hf,-0.0005261879902566203
sigma_112_e,Hf,Zr,gamma_123_usf,0.7588443206091074,gamma_123_usf,0.9670672452673323,Zr,0.0011704795287218238,Hf,0.00033148558928962975
sigma_112_e,Hf,C12,gamma_110_usf,0.7858903667947762,gamma_110_usf,0.5166562815486585,C12,0.3337645681146575,Hf,-0.0008780592191212078
sigma_112_e,Hf,C12,gamma_112_usf,0.7465344523705274,gamma_112_usf,0.370411250380343,C12,0.3195784444171437,Hf,0.013258534804838788
sigma_112_e,Hf,C12,gamma_123_usf,0.7410527601516682,gamma_123_usf,0.44869792140698733,C12,0.3038430440203691,Hf,0.009106298888273868
sigma_112_e,Hf,C44,gamma_110_usf,0.7177737304241222,gamma_110_usf,0.6991446943860079,C44,0.12202411779632032,Hf,0.004418710994469974
sigma_112_e,Hf,C44,gamma_112_usf,0.7227041118065413,gamma_112_usf,0.6292327847573299,C44,0.15438969394734817,Hf,0.006960647434632854
sigma_112_e,Hf,Ecoh_(eV),gamma_110_usf,0.7281520972420436,gamma_110_usf,1.0347357322056645,Ecoh_(eV),0.0033229936517269304,Hf,0.0009299516167081104
sigma_112_e,Hf,Ecoh_(eV),gamma_112_usf,0.7711366483549461,gamma_112_usf,0.9656507176748064,Ecoh_(eV),0.0019677695492858007,Hf,-0.0047857323377924225
sigma_112_e,Hf,Ecoh_(eV),gamma_123_usf,0.7607942013321972,gamma_123_usf,1.0060951705948646,Ecoh_(eV),0.0013558293847830787,Hf,-0.0001740704030329295
sigma_112_e,Hf,gamma_110_usf,gamma_112_usf,0.7708030512936234,gamma_112_usf,0.4226350638251901,gamma_110_usf,0.35504385653232157,Hf,0.005382915207495783
sigma_112_e,Hf,gamma_110_usf,gamma_123_usf,0.7641800411109849,gamma_123_usf,0.4313074398165257,gamma_110_usf,0.37680321127147814,Hf,0.0020283990828942216
sigma_112_e,Hf,gamma_110_usf,tao_110_iss,0.7354222675039827,gamma_110_usf,0.693194609863689,tao_110_iss,0.11076011309030571,Hf,-0.0022280952978261594
sigma_112_e,Hf,gamma_112_usf,gamma_123_usf,0.8026370302029857,gamma_112_usf,0.4121802951451509,gamma_123_usf,0.352081056913629,Hf,0.0033812958831588124
sigma_112_e,Hf,gamma_123_usf,tao_110_iss,0.7143952481202943,gamma_123_usf,0.6599198712825659,tao_110_iss,0.09675699459694648,Hf,0.0003332196774783478
sigma_112_e,Hf,gamma_123_usf,tao_112_iss,0.7465058589442894,gamma_123_usf,0.5972457829744235,tao_112_iss,0.11368188713844934,Hf,-0.0006547589095758795
sigma_112_e,Zr,C12,gamma_110_usf,0.7538285930632199,gamma_110_usf,0.44153431131787246,C12,0.3175201700233233,Zr,-0.0007378627194849211
sigma_112_e,Zr,C12,gamma_112_usf,0.7621830885464477,gamma_112_usf,0.4870043986432154,C12,0.2864549541525406,Zr,-0.0009757438261663887
sigma_112_e,Zr,C12,gamma_123_usf,0.7767744536890723,C12,0.42047809658296903,gamma_123_usf,0.370696787612186,Zr,-0.0018437875364155911
sigma_112_e,Zr,C44,gamma_112_usf,0.7249287305066523,gamma_112_usf,0.5275089285001392,C44,0.21866379904583355,Zr,0.003565111209737916
sigma_112_e,Zr,C44,gamma_123_usf,0.7421750927465723,gamma_123_usf,0.6322869270321766,C44,0.15307110877914185,Zr,0.0015036509808697147
sigma_112_e,Zr,Ecoh_(eV),gamma_110_usf,0.7842746416705646,gamma_110_usf,0.9622593006168785,Zr,0.0011115663835292368,Ecoh_(eV),0.0011088695381392885
sigma_112_e,Zr,Ecoh_(eV),gamma_112_usf,0.7677033742113498,gamma_112_usf,1.0363573669294148,Ecoh_(eV),0.0009491019436300105,Zr,-0.0005284830732297117
sigma_112_e,Zr,Ecoh_(eV),gamma_123_usf,0.7997884075495479,gamma_123_usf,1.0337419672802066,Ecoh_(eV),0.002113678446719313,Zr,-0.0004995501966208791
sigma_112_e,Zr,gamma_110_usf,gamma_112_usf,0.7832620085553424,gamma_112_usf,0.41277623252037493,gamma_110_usf,0.3312549551863014,Zr,0.0004832974496347159
sigma_112_e,Zr,gamma_110_usf,gamma_123_usf,0.7828317691518075,gamma_110_usf,0.3953753476573512,gamma_123_usf,0.36660626838714644,Zr,0.0001287968703002244
sigma_112_e,Zr,gamma_112_usf,gamma_123_usf,0.7537555340460741,gamma_112_usf,0.4231793276674119,gamma_123_usf,0.36096987435888045,Zr,0.0002856293814868786
sigma_112_e,Zr,gamma_112_usf,tao_112_iss,0.7277103943054768,gamma_112_usf,0.6422913702271073,tao_112_iss,0.13584957155656183,Zr,0.0018775833726128236
sigma_112_e,Zr,gamma_123_usf,tao_110_iss,0.735974475751943,gamma_123_usf,0.6310185712729234,tao_110_iss,0.09001943554388682,Zr,-0.0017945373829115763
sigma_112_e,C11,C12,gamma_110_usf,0.7395790334606027,gamma_110_usf,0.27368823941536763,C12,0.25733330879779465,C11,0.16236138175962864
sigma_112_e,C11,C12,gamma_112_usf,0.733735358263521,gamma_112_usf,0.2695351548175466,C12,0.2593994515570574,C11,0.09252302784885182
sigma_112_e,C11,C12,gamma_123_usf,0.7257678915273266,C12,0.22720806905117208,C11,0.20743357898220158,gamma_123_usf,0.179650421756266
sigma_112_e,C11,C44,gamma_112_usf,0.7334106274175922,C11,0.2716770318860844,gamma_112_usf,0.2709452800470138,C44,0.11142702551830495
sigma_112_e,C11,C44,gamma_123_usf,0.7121809111120548,gamma_123_usf,0.31427639107048844,C11,0.2099506745405575,C44,0.12286893088720786
sigma_112_e,C11,Ecoh_(eV),gamma_112_usf,0.7176059829783333,gamma_112_usf,0.43711266726157744,C11,0.2558227036690613,Ecoh_(eV),0.001299773143861244
sigma_112_e,C11,gamma_110_usf,gamma_112_usf,0.7556099633468848,gamma_110_usf,0.29168982813339256,gamma_112_usf,0.25072071061501494,C11,0.10509236356518498
sigma_112_e,C11,gamma_110_usf,gamma_123_usf,0.7146766704330836,gamma_110_usf,0.29845939729486853,gamma_123_usf,0.2447450846924333,C11,0.14922282797157188
sigma_112_e,C11,gamma_112_usf,gamma_123_usf,0.7489689622828513,gamma_123_usf,0.243957592058594,gamma_112_usf,0.23280375721657484,C11,0.16043481600457685
sigma_112_e,C11,gamma_123_usf,tao_112_iss,0.7102990788709103,gamma_123_usf,0.2875057121477436,C11,0.22471106782270708,tao_112_iss,0.09774771097511416
sigma_112_e,C12,C44,gamma_112_usf,0.7185642714816614,C12,0.2878480388780947,gamma_112_usf,0.2835704005038736,C44,0.0976820104236809
sigma_112_e,C12,C44,gamma_123_usf,0.7363036158610209,gamma_123_usf,0.2939107423846303,C12,0.2791878708723863,C44,0.10227298343747733
sigma_112_e,C12,Ecoh_(eV),gamma_110_usf,0.7402568785253966,gamma_110_usf,0.4791902944436494,C12,0.310976653460313,Ecoh_(eV),0.0008257695209391222
sigma_112_e,C12,Ecoh_(eV),gamma_112_usf,0.7683686184324188,C12,0.4102213678530968,gamma_112_usf,0.39270558338562617,Ecoh_(eV),-0.0007248296877810576
sigma_112_e,C12,Ecoh_(eV),gamma_123_usf,0.7759756843380344,gamma_123_usf,0.4446622489588794,C12,0.2996199287410634,Ecoh_(eV),0.0033036810649551135
sigma_112_e,C12,gamma_110_usf,gamma_112_usf,0.7925715048955762,C12,0.3369977874738619,gamma_110_usf,0.22516377619345018,gamma_112_usf,0.1456617912799706
sigma_112_e,C12,gamma_110_usf,gamma_123_usf,0.746635307306529,gamma_110_usf,0.3036039244797695,gamma_123_usf,0.22305454256386872,C12,0.20000574396821477
sigma_112_e,C12,gamma_110_usf,tao_110_iss,0.7372132802949606,gamma_110_usf,0.3440110298926276,C12,0.28036541996490577,tao_110_iss,0.07147180376298246
sigma_112_e,C12,gamma_110_usf,tao_112_iss,0.7397684256562164,gamma_110_usf,0.35058316416045293,C12,0.3254458491002173,tao_112_iss,0.04402490578285793
sigma_112_e,C12,gamma_112_usf,gamma_123_usf,0.7767146138323996,C12,0.25193854727269777,gamma_123_usf,0.23306059116174213,gamma_112_usf,0.21903710285184944
sigma_112_e,C12,gamma_112_usf,tao_110_iss,0.7210553953906005,C12,0.31797175274000894,gamma_112_usf,0.29323526573385766,tao_110_iss,0.07428326913184798
sigma_112_e,C12,gamma_112_usf,tao_112_iss,0.7550996295597102,C12,0.3486848449921686,gamma_112_usf,0.28995986625251713,tao_112_iss,0.05759321806232894
sigma_112_e,C12,gamma_123_usf,tao_110_iss,0.7595796269934153,gamma_123_usf,0.33180250025992214,C12,0.2918510673774144,tao_110_iss,0.08647733763699922
sigma_112_e,C12,gamma_123_usf,tao_112_iss,0.7731058314875209,C12,0.36771834032790296,gamma_123_usf,0.3515827680265245,tao_112_iss,0.04123192012277757
sigma_112_e,C44,Ecoh_(eV),gamma_112_usf,0.7354936511665149,gamma_112_usf,0.7022567318579914,C44,0.14804890300235257,Ecoh_(eV),0.0005744817942249884
sigma_112_e,C44,Ecoh_(eV),gamma_123_usf,0.7156754721686388,gamma_123_usf,0.7498282325542016,C44,0.08988463439167083,Ecoh_(eV),-0.0030342043394375622
sigma_112_e,C44,gamma_110_usf,gamma_112_usf,0.7700339583050799,gamma_110_usf,0.39258065574982326,gamma_112_usf,0.2499757650510711,C44,0.12142967617649432
sigma_112_e,C44,gamma_110_usf,gamma_123_usf,0.7241062453523549,gamma_110_usf,0.2828098492770313,gamma_123_usf,0.26149068350071725,C44,0.13844915775917357
sigma_112_e,C44,gamma_110_usf,tao_110_iss,0.7164771774743729,gamma_110_usf,0.5768084616791685,C44,0.1064060794680739,tao_110_iss,0.0820599715362428
sigma_112_e,C44,gamma_110_usf,tao_112_iss,0.715527664074708,gamma_110_usf,0.5484982393412469,C44,0.15140484324094775,tao_112_iss,0.031174993726580003
sigma_112_e,C44,gamma_112_usf,gamma_123_usf,0.7751407161357601,gamma_123_usf,0.3564806555791338,gamma_112_usf,0.23121744092497018,C44,0.12964391801344147
sigma_112_e,C44,gamma_123_usf,tao_112_iss,0.7567531180976291,gamma_123_usf,0.5477591614955898,C44,0.12368340328870746,tao_112_iss,0.06800078645398462
sigma_112_e,Ecoh_(eV),gamma_110_usf,gamma_112_usf,0.8017713831776452,gamma_110_usf,0.4772893319681613,gamma_112_usf,0.30145886443115344,Ecoh_(eV),0.0031033718896766502
sigma_112_e,Ecoh_(eV),gamma_110_usf,gamma_123_usf,0.7514115807901506,gamma_110_usf,0.4312961390914059,gamma_123_usf,0.37431033472859093,Ecoh_(eV),-0.0006455073711744581
sigma_112_e,Ecoh_(eV),gamma_112_usf,gamma_123_usf,0.7817446035471952,gamma_123_usf,0.4319258628030766,gamma_112_usf,0.37155452866526756,Ecoh_(eV),0.0011159327402070485
sigma_112_e,Ecoh_(eV),gamma_112_usf,tao_112_iss,0.7278724798435641,gamma_112_usf,0.7770966926661863,tao_112_iss,0.08793443997237328,Ecoh_(eV),-0.0006993119846719584
sigma_112_e,gamma_110_usf,gamma_112_usf,gamma_123_usf,0.7974873876814313,gamma_123_usf,0.34651888778831613,gamma_110_usf,0.2007845974253422,gamma_112_usf,0.1905809727108562
sigma_112_e,gamma_110_usf,gamma_112_usf,tao_110_iss,0.7634121966643246,gamma_112_usf,0.35639002685835064,gamma_110_usf,0.26069079544603313,tao_110_iss,0.09477565195931942
sigma_112_e,gamma_110_usf,gamma_112_usf,tao_112_iss,0.7586167186747358,gamma_112_usf,0.33550935277949484,gamma_110_usf,0.308463275520983,tao_112_iss,0.0674983019957458
sigma_112_e,gamma_110_usf,gamma_123_usf,tao_110_iss,0.76242432992674,gamma_110_usf,0.3334646901192531,gamma_123_usf,0.27133000553204806,tao_110_iss,0.07516093200110473
sigma_112_e,gamma_110_usf,gamma_123_usf,tao_112_iss,0.7486336309142047,gamma_110_usf,0.3940481705157699,gamma_123_usf,0.2835132819422172,tao_112_iss,0.05571264929541107
sigma_112_e,gamma_112_usf,gamma_123_usf,tao_110_iss,0.763984393707993,gamma_123_usf,0.3477680586235421,gamma_112_usf,0.33516096288915603,tao_110_iss,0.04523672159956768
sigma_112_e,gamma_112_usf,gamma_123_usf,tao_112_iss,0.7198473222541325,gamma_123_usf,0.32840362548112645,gamma_112_usf,0.29435020810409845,tao_112_iss,0.07144345305967575
sigma_112_s,Ti,Zr,a0,0.7111426407586655,a0,1.4130270086813732,Zr,-0.00046212433251859443,Ti,-0.002424094071587816
sigma_112_s,Zr,a0,Ecoh_(eV),0.7196455557334126,a0,1.2198539932938983,Zr,0.001725520577527218,Ecoh_(eV),-0.0021189874963683706
sigma_123_e,Nb,Mo,C44,0.788029801942551,Mo,0.5652801654647039,C44,0.29087813208479046,Nb,0.0
sigma_123_e,Ti,Mo,C44,0.7557430032854967,Mo,0.472203921809784,C44,0.21671337148184966,Ti,0.005971213146786662
sigma_123_e,Mo,Hf,C44,0.7952639735750625,Mo,0.663663616282305,C44,0.2737380910855436,Hf,0.023582102470101274
sigma_123_e,Mo,C44,gamma_123_usf,0.7176404135632226,Mo,0.28088909251118516,gamma_123_usf,0.20635217091184732,C44,0.13179995915387563
